naslov,avtor,ocena,vse_ocene,kon_ocena,vsi_glasovi
The Girl with the Dragon Tattoo,Stieg Larsson, 4.14 ,"2,605,461",338.089,3778
Rebecca,Daphne du Maurier, 4.23 ,"448,536",332.160,3732
1984,George Orwell, 4.19 ,"3,135,390",323.235,3532
The Color Purple,Alice Walker, 4.22 ,"520,576",318.919,3626
A Tree Grows in Brooklyn,Betty  Smith, 4.27 ,"388,130",309.313,3405
A Clockwork Orange,Anthony Burgess, 3.99 ,"600,363",302.669,3410
The Road,Cormac McCarthy, 3.97 ,"715,444",300.848,3299
The Brothers Karamazov,Fyodor Dostoyevsky, 4.32 ,"242,876",299.439,3310
Angela&#39;s Ashes,Frank McCourt, 4.11 ,"539,081",290.215,3239
Vampire Academy,Richelle Mead, 4.12 ,"548,340",277.718,2985
Siddhartha,Hermann Hesse, 4.03 ,"581,934",272.823,3046
The Poisonwood Bible,Barbara Kingsolver, 4.06 ,"658,350",271.161,2977
The Golden Compass,Philip Pullman, 3.99 ,"1,282,702",256.957,2878
Don Quixote,Miguel de Cervantes Saavedra, 3.88 ,"209,333",253.475,2889
Atlas Shrugged,Ayn Rand, 3.69 ,"353,503",248.484,2730
Harry Potter and the Prisoner of Azkaban,J.K. Rowling, 4.57 ,"2,802,396",247.193,2764
The Old Man and the Sea,Ernest Hemingway, 3.78 ,"830,075",235.243,2725
The Notebook,Nicholas Sparks, 4.11 ,"1,329,834",228.629,2582
Winnie-the-Pooh,A.A. Milne, 4.34 ,"270,056",218.701,2576
The Complete Stories and Poems,Edgar Allan Poe, 4.38 ,"219,895",218.248,2532
Interview with the Vampire,Anne Rice, 4.00 ,"483,971",208.148,2385
A Prayer for Owen Meany,John Irving, 4.23 ,"285,806",207.246,2280
"Moby-Dick or, the Whale",Herman Melville, 3.51 ,"478,745",202.650,2346
The Red Tent,Anita Diamant, 4.18 ,"519,869",181.001,2025
Harry Potter and the Goblet of Fire,J.K. Rowling, 4.56 ,"2,591,361",179.291,2053
The Secret Life of Bees,Sue Monk Kidd, 4.06 ,"1,115,781",179.132,2051
Clockwork Angel,Cassandra Clare, 4.32 ,"665,095",174.407,1920
Harry Potter and the Half-Blood Prince,J.K. Rowling, 4.57 ,"2,434,670",162.801,1889
And Then There Were None,Agatha Christie, 4.26 ,"820,110",161.187,1873
Middlesex,Jeffrey Eugenides, 4.01 ,"580,900",156.895,1752
The Stranger,Albert Camus, 3.98 ,"705,018",155.456,1785
The Master and Margarita,Mikhail Bulgakov, 4.29 ,"242,214",150.874,1647
The Name of the Wind,Patrick Rothfuss, 4.53 ,"714,354",150.539,1597
The Shining,Stephen King, 4.23 ,"1,125,005",149.852,1765
The Adventures of Tom Sawyer,Mark Twain, 3.91 ,"757,272",147.020,1807
Eragon,Christopher Paolini, 3.90 ,"1,435,627",144.990,1656
Charlie and the Chocolate Factory,Roald Dahl, 4.14 ,"663,844",143.788,1719
Flowers for Algernon,Daniel Keyes, 4.14 ,"477,828",142.273,1655
On the Road,Jack Kerouac, 3.62 ,"348,081",140.738,1595
Looking for Alaska,John Green, 4.02 ,"1,112,080",140.023,1535
The Metamorphosis,Franz Kafka, 3.82 ,"641,934",139.711,1645
The Shadow of the Wind,Carlos Ruiz Zafón, 4.27 ,"461,308",139.092,1538
The Curious Incident of the Dog in the Night-Time,Mark Haddon, 3.88 ,"1,190,402",138.102,1590
The Very Hungry Caterpillar,Eric Carle, 4.30 ,"395,650",137.236,1601
Tuesdays with Morrie,Mitch Albom, 4.11 ,"781,356",135.688,1553
The Unbearable Lightness of Being,Milan Kundera, 4.10 ,"341,149",135.139,1517
The Name of the Rose,Umberto Eco, 4.12 ,"300,414",132.087,1532
Where the Red Fern Grows,Wilson Rawls, 4.08 ,"341,896",131.171,1527
Harry Potter and the Chamber of Secrets,J.K. Rowling, 4.43 ,"2,721,896",130.922,1570
The Godfather,Mario Puzo, 4.36 ,"334,410",128.489,1519
The Scarlet Letter,Nathaniel Hawthorne, 3.41 ,"705,642",128.265,1597
In Cold Blood,Truman Capote, 4.07 ,"528,444",125.917,1494
Fight Club,Chuck Palahniuk, 4.19 ,"498,437",125.361,1446
The Five People You Meet in Heaven,Mitch Albom, 3.94 ,"577,691",125.040,1441
"Hush, Hush",Becca Fitzpatrick, 3.97 ,"572,730",124.737,1379
The Cat in the Hat,Dr. Seuss, 4.17 ,"427,211",120.301,1482
Lonesome Dove,Larry McMurtry, 4.48 ,"148,898",119.713,1343
American Gods,Neil Gaiman, 4.11 ,"757,472",119.623,1355
Perfume: The Story of a Murderer,Patrick Süskind, 4.02 ,"327,299",119.485,1360
The Count of Monte Cristo,Alexandre Dumas, 4.25 ,"745,713",119.359,1375
Holes,Louis Sachar, 3.97 ,"968,607",118.974,1423
"The Lion, the Witch and the Wardrobe",C.S. Lewis, 4.22 ,"2,125,699",118.214,1474
It,Stephen King, 4.24 ,"800,978",116.529,1354
Watchmen,Alan Moore, 4.36 ,"486,868",116.385,1318
The Last Olympian,Rick Riordan, 4.51 ,"666,982",116.216,1337
The Little House Collection,Laura Ingalls Wilder, 4.34 ,"141,443",115.088,1361
The Divine Comedy,Dante Alighieri, 4.05 ,"119,458",114.405,1357
Peter Pan,J.M. Barrie, 4.05 ,"276,325",113.878,1410
All Quiet on the Western Front,Erich Maria Remarque, 3.98 ,"354,877",113.129,1326
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company, 4.44 ,"8,435",107.301,1232
"The Hobbit, or There and Back Again",J.R.R. Tolkien, 4.27 ,"2,892,742",107.226,1281
Love in the Time of Cholera,Gabriel García Márquez, 3.92 ,"411,568",106.573,1267
Shadow Kiss,Richelle Mead, 4.35 ,"324,929",105.202,1170
Insurgent,Veronica Roth, 4.02 ,"1,166,685",104.936,1194
The Thorn Birds,Colleen McCullough, 4.23 ,"314,220",104.326,1263
A Walk to Remember,Nicholas Sparks, 4.18 ,"672,495",104.191,1217
How the Grinch Stole Christmas!,Dr. Seuss, 4.36 ,"329,843",98.206,1266
The Ultimate Hitchhiker&#39;s Guide to the Galaxy,Douglas Adams, 4.36 ,"286,656",97.868,1151
Atonement,Ian McEwan, 3.91 ,"438,977",97.251,1164
"Eat, Pray, Love",Elizabeth Gilbert, 3.57 ,"1,473,329",97.131,1123
The Importance of Being Earnest,Oscar Wilde, 4.18 ,"301,904",97.086,1208
Their Eyes Were Watching God,Zora Neale Hurston, 3.94 ,"265,245",96.042,1110
The Wonderful Wizard of Oz,L. Frank Baum, 3.98 ,"369,071",95.453,1247
The Three Musketeers,Alexandre Dumas, 4.07 ,"273,384",95.451,1197
