naslov,avtor,ocena,vse_ocene,kon_ocena,vsi_glasovi
Tuck Everlasting,Natalie Babbitt, 3.87 ,"231,773",31.793,434
Beautiful Creatures,Kami Garcia, 3.76 ,"538,736",31.593,390
Steppenwolf,Hermann Hesse, 4.13 ,"135,539",31.483,397
The Final Empire,Brandon Sanderson, 4.45 ,"400,909",31.479,347
Eldest,Christopher Paolini, 3.99 ,"354,527",31.458,405
Dark Lover,J.R. Ward, 4.19 ,"288,781",31.344,367
Go Ask Alice,Beatrice Sparks, 3.76 ,"234,529",31.333,421
انتحار فاشل,أحمد جمال الدين رمضان, 4.51 ,"2,261",31.046,318
The Tell-Tale Heart and Other Writings,Edgar Allan Poe, 4.17 ,"221,510",31.016,453
The Eye of the World,Robert Jordan, 4.17 ,"391,061",30.920,363
As I Lay Dying,William Faulkner, 3.72 ,"136,729",30.850,414
A Separate Peace,John Knowles, 3.58 ,"190,752",30.697,419
The Complete Maus,Art Spiegelman, 4.55 ,"137,290",30.521,396
Mansfield Park,Jane Austen, 3.86 ,"282,819",30.080,426
The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon, 4.18 ,"183,927",29.943,368
Brisingr,Christopher Paolini, 4.05 ,"298,619",29.909,390
العصبي,أحمد جمال الدين رمضان, 4.52 ,"1,944",29.592,304
A Child Called &quot;It&quot;,Dave Pelzer, 4.11 ,"378,607",29.539,384
Stargirl,Jerry Spinelli, 3.76 ,"296,227",29.529,356
Tao Te Ching,Lao Tzu, 4.28 ,"116,855",29.380,375
&#39;Salem&#39;s Lot,Stephen King, 4.03 ,"333,474",29.065,394
Dear John,Nicholas Sparks, 4.03 ,"539,394",29.023,368
Midnight&#39;s Children,Salman Rushdie, 3.98 ,"104,453",28.992,352
Obsidian,Jennifer L. Armentrout, 4.19 ,"225,211",28.991,327
The Martian Chronicles,Ray Bradbury, 4.14 ,"209,944",28.966,388
Crescendo,Becca Fitzpatrick, 4.04 ,"274,334",28.887,357
The English Patient,Michael Ondaatje, 3.88 ,"113,252",28.800,393
East of Eden,John Steinbeck, 4.38 ,"428,410",28.764,344
Cloud Atlas,David Mitchell, 4.01 ,"215,819",28.752,346
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig, 3.77 ,"200,142",28.738,364
The Martian,Andy Weir, 4.40 ,"816,133",28.704,336
The Firm,John Grisham, 4.02 ,"563,778",28.613,419
The Last Song,Nicholas Sparks, 4.15 ,"504,519",28.609,350
My Ántonia,Willa Cather, 3.80 ,"119,809",28.526,388
Shatter Me,Tahereh Mafi, 3.95 ,"290,202",28.364,327
The Amber Spyglass,Philip Pullman, 4.09 ,"297,804",28.341,362
Doctor Zhivago,Boris Pasternak, 4.01 ,"82,333",28.285,422
The Hunchback of Notre-Dame,Victor Hugo, 3.99 ,"171,115",28.230,406
Robinson Crusoe,Daniel Defoe, 3.68 ,"247,575",28.064,420
Inferno,Dante Alighieri, 4.00 ,"142,843",27.932,380
Like Water for Chocolate,Laura Esquivel, 3.95 ,"324,306",27.863,395
Breakfast at Tiffany&#39;s and Three Stories,Truman Capote, 3.88 ,"211,299",27.505,386
Room,Emma Donoghue, 4.06 ,"713,448",27.254,336
Dragonfly in Amber,Diana Gabaldon, 4.32 ,"286,783",27.148,341
Breakfast of Champions,Kurt Vonnegut Jr., 4.07 ,"222,645",27.035,340
The BFG,Roald Dahl, 4.22 ,"372,710",27.029,366
Six of Crows,Leigh Bardugo, 4.43 ,"313,919",26.728,294
Harry Potter Series Box Set,J.K. Rowling, 4.73 ,"251,459",26.706,323
The Origin of Species,Charles Darwin, 3.98 ,"99,131",26.616,365
A Fine Balance,Rohinton Mistry, 4.35 ,"129,099",26.200,312
Daughter of Smoke &amp; Bone,Laini Taylor, 4.01 ,"310,251",26.196,308
Evermore,Alyson Noel, 3.59 ,"262,532",26.159,317
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson, 3.82 ,"383,606",26.156,381
City of Heavenly Fire,Cassandra Clare, 4.44 ,"288,170",25.986,324
Death of a Salesman,Arthur  Miller, 3.53 ,"185,547",25.760,400
The Subtle Knife,Philip Pullman, 4.13 ,"365,611",25.714,345
11/22/63,Stephen King, 4.31 ,"419,510",25.504,309
A Streetcar Named Desire,Tennessee Williams, 3.98 ,"261,092",25.409,388
The Plague,Albert Camus, 4.01 ,"171,104",25.332,345
Midnight in the Garden of Good and Evil,John Berendt, 3.92 ,"223,680",25.322,357
Infinite Jest,David Foster Wallace, 4.28 ,"74,247",25.154,274
The Prince,Niccolò Machiavelli, 3.82 ,"259,556",25.150,352
Hamlet,William Shakespeare, 4.02 ,"729,283",25.096,322
"Faust, First Part",Johann Wolfgang von Goethe, 3.93 ,"58,218",25.082,335
The Remains of the Day,Kazuo Ishiguro, 4.12 ,"199,779",24.879,347
Anna and the French Kiss,Stephanie Perkins, 4.01 ,"363,615",24.862,287
Snow Flower and the Secret Fan,Lisa See, 4.08 ,"339,227",24.854,317
The Angel Experiment,James Patterson, 4.07 ,"205,634",24.610,303
A Feast for Crows,George R.R. Martin, 4.14 ,"620,259",24.539,322
Miss Peregrine&#39;s Home for Peculiar Children,Ransom Riggs, 3.91 ,"975,664",24.412,306
Matched,Ally Condie, 3.66 ,"652,748",24.354,304
Flowers in the Attic,V.C. Andrews, 3.82 ,"160,403",24.342,325
The Shipping News,Annie Proulx, 3.86 ,"130,267",24.228,333
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand, 4.36 ,"766,108",24.200,290
The Scarlet Pimpernel,Emmuska Orczy, 4.06 ,"124,120",24.140,310
Hopeless,Colleen Hoover, 4.29 ,"267,778",24.048,269
Jonathan Strange &amp; Mr Norrell,Susanna Clarke, 3.82 ,"197,951",23.949,296
The Chosen,Chaim Potok, 4.04 ,"85,793",23.909,324
High Fidelity,Nick Hornby, 3.93 ,"173,438",23.703,296
"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy, 4.17 ,"107,359",23.647,276
Houdini Heart,Ki Longfellow, 4.21 ,"2,018",23.469,243
All the Light We Cannot See,Anthony Doerr, 4.33 ,"1,022,522",23.297,274
Artemis Fowl,Eoin Colfer, 3.85 ,"495,363",23.235,303
Pippi Longstocking,Astrid Lindgren, 4.13 ,"167,687",23.139,335
The Tales of Beedle the Bard,J.K. Rowling, 4.06 ,"406,038",23.096,331
The Virgin Suicides,Jeffrey Eugenides, 3.82 ,"228,603",22.976,301
The Reader,Bernhard Schlink, 3.76 ,"170,661",22.873,324
Nineteen Minutes,Jodi Picoult, 4.13 ,"300,388",22.630,287
The House of Hades,Rick Riordan, 4.54 ,"261,472",22.380,280
Shantaram,Gregory David Roberts, 4.25 ,"167,361",22.250,253
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson, 3.99 ,"520,784",22.245,290
Redeeming Love,Francine Rivers, 4.49 ,"212,833",22.088,251
The Age of Innocence,Edith Wharton, 3.95 ,"139,350",21.996,309
The Host,Stephenie Meyer, 3.84 ,"894,106",21.793,272
The Lost Symbol,Dan Brown, 3.71 ,"520,551",21.758,280
Neuromancer,William Gibson, 3.90 ,"261,957",21.673,268
Betrayed,P.C. Cast, 3.93 ,"239,874",21.656,281
Waiting for Godot,Samuel Beckett, 3.83 ,"160,127",21.646,290
Northanger Abbey,Jane Austen, 3.83 ,"297,505",21.528,317
The Voyage of the Dawn Treader,C.S. Lewis, 4.09 ,"394,463",21.419,310
Dubliners,James Joyce, 3.85 ,"122,869",21.387,303
The Grapes of Wrath,John Steinbeck, 3.97 ,"749,335",21.349,287
Lover Awakened,J.R. Ward, 4.44 ,"161,356",21.280,258
A Court of Thorns and Roses,Sarah J. Maas, 4.22 ,"473,979",21.102,244
War and Peace,Leo Tolstoy, 4.12 ,"264,333",21.021,257
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells, 3.83 ,"522,543",20.996,310
The Waste Land,T.S. Eliot, 4.11 ,"42,687",20.932,293
Untamed,P.C. Cast, 3.95 ,"213,399",20.905,270
Everything Is Illuminated,Jonathan Safran Foer, 3.90 ,"164,152",20.856,255
A Dance with Dragons,George R.R. Martin, 4.32 ,"555,252",20.769,274
Crown of Midnight,Sarah J. Maas, 4.42 ,"337,796",20.551,244
To the Lighthouse,Virginia Woolf, 3.78 ,"132,935",20.466,277
The Twilight Collection,Stephenie Meyer, 3.79 ,"43,723",20.440,260
"I, Robot",Isaac Asimov, 4.20 ,"275,258",20.373,280
The Pearl,John Steinbeck, 3.48 ,"187,762",20.347,318
I Know Why the Caged Bird Sings,Maya Angelou, 4.24 ,"408,460",20.304,290
The One,Kiera Cass, 4.20 ,"379,553",20.204,241
The Jungle,Upton Sinclair, 3.75 ,"128,783",20.164,280
Carrie,Stephen King, 3.96 ,"519,558",20.034,292
Snow Falling on Cedars,David Guterson, 3.84 ,"165,895",19.933,285
Voyager,Diana Gabaldon, 4.37 ,"256,768",19.903,255
"I, Claudius",Robert Graves, 4.23 ,"56,547",19.881,270
Heir of Fire,Sarah J. Maas, 4.48 ,"278,813",19.749,229
Me Talk Pretty One Day,David Sedaris, 3.99 ,"617,578",19.727,266
Chosen,P.C. Cast, 3.91 ,"221,912",19.431,253
A Room with a View,E.M. Forster, 3.91 ,"151,792",19.369,290
Bleak House,Charles Dickens, 4.00 ,"96,933",19.159,263
The Republic,Plato, 3.94 ,"170,602",19.147,281
The Last Battle,C.S. Lewis, 4.02 ,"221,547",19.027,278
The Exorcist,William Peter Blatty, 4.18 ,"180,271",18.994,276
The Elephant Tree,R.D. Ronald, 4.13 ,"61,642",18.819,209
Coraline,Neil Gaiman, 4.06 ,"480,543",18.768,256
Demian: Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse, 4.13 ,"74,108",18.598,223
The 5th Wave,Rick Yancey, 4.04 ,"387,856",18.378,221
Quantum Roots II: Worm Holes,Kyle Keyes, 4.35 ,"8,361",18.334,204
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz, 4.33 ,"259,240",18.331,200
The Iron King,Julie Kagawa, 3.90 ,"191,369",18.280,224
The Arabian Nights,Anonymous, 4.04 ,"60,994",18.263,256
The Complete Poems of Emily Dickinson,Emily Dickinson, 4.23 ,"77,111",18.245,287
Torment,Lauren Kate, 3.87 ,"207,633",18.239,235
Bloodlines,Richelle Mead, 4.20 ,"167,189",18.233,231
Mistress Suffragette,Diana   Forbes, 4.34 ,"7,645",18.215,203
Wizard&#39;s First Rule,Terry Goodkind, 4.12 ,"229,002",18.170,218
Vanity Fair,William Makepeace Thackeray, 3.79 ,"117,980",18.169,260
North and South,Elizabeth Gaskell, 4.13 ,"143,387",18.164,234
Brideshead Revisited,Evelyn Waugh, 4.00 ,"93,193",18.048,246
The God Delusion,Richard Dawkins, 3.90 ,"231,115",18.030,229
Of Human Bondage,W. Somerset Maugham, 4.11 ,"49,921",17.959,251
Pet Sematary,Stephen King, 4.00 ,"423,976",17.770,246
Snow Crash,Neal Stephenson, 4.02 ,"236,572",17.719,208
World War Z: An Oral History of the Zombie War,Max Brooks, 4.01 ,"439,169",17.610,222
A Great and Terrible Beauty,Libba Bray, 3.78 ,"207,517",17.567,217
Bared to You,Sylvia Day, 4.18 ,"453,509",17.549,205
The Witching Hour,Anne Rice, 4.11 ,"101,737",17.529,235
The War of the Worlds,H.G. Wells, 3.83 ,"244,367",17.525,267
The Summoning,Kelley Armstrong, 4.02 ,"154,360",17.426,217
"Cry, the Beloved Country",Alan Paton, 3.89 ,"67,232",17.296,237
Johnny Got His Gun,Dalton Trumbo, 4.18 ,"34,301",17.156,211
Chocolat,Joanne Harris, 3.96 ,"113,021",17.156,255
Halfway to the Grave,Jeaniene Frost, 4.16 ,"135,587",17.038,204
Three Cups of Tea: One Man&#39;s Mission to Promote Peace ... One School at a Time,Greg Mortenson, 3.65 ,"325,603",17.023,232
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,Cassandra Clare, 4.56 ,"64,911",17.009,216
Perfect Chemistry,Simone Elkeles, 4.06 ,"239,383",17.008,200
Red Queen,Victoria Aveyard, 4.04 ,"563,688",17.003,191
City of Glass,Cassandra Clare, 4.31 ,"794,368",16.969,226
The Woman in White,Wilkie Collins, 3.99 ,"131,455",16.913,243
Angels &amp; Demons,Dan Brown, 3.90 ,"2,673,067",16.909,217
Just Listen,Sarah Dessen, 4.06 ,"231,240",16.745,204
2001: A Space Odyssey,Arthur C. Clarke, 4.15 ,"259,141",16.704,226
The Truth About Forever,Sarah Dessen, 4.12 ,"208,876",16.672,205
A Discovery of Witches,Deborah Harkness, 4.00 ,"368,191",16.633,198
Unwind,Neal Shusterman, 4.17 ,"191,466",16.625,197
Trainspotting,Irvine Welsh, 4.07 ,"152,958",16.613,205
Are You My Mother?,P.D. Eastman, 4.19 ,"213,196",16.520,245
Cannery Row,John Steinbeck, 4.04 ,"111,901",16.505,240
Much Ado About Nothing,William Shakespeare, 4.06 ,"214,521",16.497,244
Swann&#39;s Way,Marcel Proust, 4.12 ,"47,001",16.418,205
The Polar Express,Chris Van Allsburg, 4.30 ,"211,621",16.361,258
Sarah&#39;s Key,Tatiana de Rosnay, 4.16 ,"419,262",16.291,214
Acheron,Sherrilyn Kenyon, 4.57 ,"54,421",16.205,188
Lady Chatterley&#39;s Lover,D.H. Lawrence, 3.51 ,"101,459",16.204,250
The Elite,Kiera Cass, 4.02 ,"424,646",16.080,201
Silence,Becca Fitzpatrick, 4.12 ,"243,642",16.076,203
Ishmael,Daniel Quinn, 3.98 ,"83,221",16.052,194
Nine Stories,J.D. Salinger, 4.18 ,"134,022",15.991,212
The Unbecoming of Mara Dyer,Michelle Hodkin, 4.05 ,"152,525",15.955,183
All the Bright Places,Jennifer Niven, 4.15 ,"299,411",15.905,174
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer, 4.18 ,"394,670",15.858,224
The Return of the King,J.R.R. Tolkien, 4.53 ,"677,832",15.851,218
Far From the Madding Crowd,Thomas Hardy, 3.94 ,"128,672",15.791,231
The Zombie Room,R.D. Ronald, 4.16 ,"61,283",15.778,175
I Am Number Four,Pittacus Lore, 3.94 ,"312,123",15.754,202
Angelfall,Susan Ee, 4.13 ,"164,319",15.745,178
The Horse and His Boy,C.S. Lewis, 3.91 ,"273,675",15.743,237
Dead to the World,Charlaine Harris, 4.12 ,"243,216",15.727,209
The Bronze Horseman,Paullina Simons, 4.30 ,"66,128",15.678,172
You Are Special,Max Lucado, 4.45 ,"49,144",15.642,184
Sabriel,Garth Nix, 4.15 ,"184,622",15.638,191
Cutting for Stone,Abraham   Verghese, 4.29 ,"336,667",15.631,195
Little House on the Prairie,Laura Ingalls Wilder, 4.19 ,"255,891",15.567,248
Being and Time,Martin Heidegger, 4.03 ,"20,097",15.553,159
Persuasion,Jane Austen, 4.14 ,"523,835",15.502,202
The Goose Girl,Shannon Hale, 4.12 ,"131,104",15.490,191
I Capture the Castle,Dodie Smith, 4.00 ,"84,476",15.485,200
The Last Lecture,Randy Pausch, 4.26 ,"302,556",15.336,192
The Glass Menagerie,Tennessee Williams, 3.71 ,"111,623",15.333,255
Ignite Me,Tahereh Mafi, 4.40 ,"137,145",15.294,180
Twelfth Night,William Shakespeare, 3.98 ,"155,459",15.244,234
The Darkest Minds,Alexandra Bracken, 4.18 ,"148,141",15.203,174
Invisible Monsters,Chuck Palahniuk, 3.98 ,"127,872",15.186,181
Wicked Lovely,Melissa Marr, 3.69 ,"152,466",15.134,188
The Hours,Michael Cunningham, 3.94 ,"125,091",15.131,214
Drums of Autumn,Diana Gabaldon, 4.33 ,"206,971",15.067,191
P.S. I Love You,Cecelia Ahern, 4.02 ,"337,143",15.036,194
World Without End,Ken Follett, 4.27 ,"197,851",15.010,199
Hunted,P.C. Cast, 3.93 ,"162,351",14.922,195
Queen of Shadows,Sarah J. Maas, 4.55 ,"241,044",14.897,172
A Christmas Carol,Charles Dickens, 4.06 ,"599,073",14.892,213
The Merchant of Venice,William Shakespeare, 3.80 ,"157,746",14.880,234
The Last Unicorn,Peter S. Beagle, 4.15 ,"96,916",14.809,188
Slammed,Colleen Hoover, 4.26 ,"209,237",14.733,167
Little House in the Big Woods,Laura Ingalls Wilder, 4.18 ,"232,834",14.731,233
Hyperion,Dan Simmons, 4.23 ,"187,383",14.720,175
No Country for Old Men,Cormac McCarthy, 4.12 ,"147,453",14.661,196
The Bean Trees,Barbara Kingsolver, 3.97 ,"135,000",14.620,215
The Raven Boys,Maggie Stiefvater, 4.05 ,"269,311",14.611,169
The Bad Beginning,Lemony Snicket, 3.95 ,"397,353",14.584,200
Cyrano de Bergerac,Edmond Rostand, 4.07 ,"72,041",14.569,210
Speaker for the Dead,Orson Scott Card, 4.07 ,"224,856",14.462,183
The Westing Game,Ellen Raskin, 4.01 ,"165,027",14.422,188
Interpreter of Maladies,Jhumpa Lahiri, 4.15 ,"160,057",14.341,190
The Red Pyramid,Rick Riordan, 4.08 ,"317,534",14.315,194
We Were Liars,E. Lockhart, 3.83 ,"463,586",14.288,161
The Goldfinch,Donna Tartt, 3.92 ,"718,874",14.278,168
All the King&#39;s Men,Robert Penn Warren, 4.07 ,"57,986",14.192,197
Julius Caesar,William Shakespeare, 3.69 ,"168,621",14.148,230
Lover Eternal,J.R. Ward, 4.34 ,"172,904",14.062,179
"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose",Diamante Lavendar, 4.33 ,"5,292",14.021,157
