avtor,odlocilna_ocena
Gail Carson Levine,54.518
Haruki Murakami,54.275
Marissa Meyer,53.375
Stephen King,53.136
George R.R. Martin,52.862
José Saramago,52.830
William Faulkner,52.729
William Paul Young,52.267
P.C. Cast,52.072
Mary Ann Shaffer,51.407
Ernest Hemingway,51.234
Hunter S. Thompson,51.199
Isabel Allende,50.819
Bill Watterson,50.709
Alex Haley,50.100
Diana Wynne Jones,49.956
Stephen King,49.920
Robert A. Heinlein,49.644
Scott O&#39;Dell,49.491
Stephenie Meyer,48.808
Stieg Larsson,48.307
Janet Fitch,48.197
Donna Tartt,48.169
Anne Frank,47.931
Lauren Oliver,47.672
Jamie McGuire,47.581
William Shakespeare,47.570
Ki Longfellow,47.531
John Green,47.465
Anne Rice,47.256
Fyodor Dostoyevsky,47.126
Laurie Halse Anderson,47.066
William Shakespeare,46.782
T.H. White,46.527
Wally Lamb,46.411
Neil Gaiman,45.998
Jon Krakauer,45.927
Harriet Beecher Stowe,45.654
Christopher Moore,45.600
Cornelia Funke,45.545
Elizabeth Kostova,44.823
Arthur Conan Doyle,44.539
Voltaire,44.231
Roald Dahl,44.080
Ralph Ellison,43.994
John Milton,43.655
Tim Butcher,43.627
James Herriot,43.536
Gillian Flynn,43.529
Walt Whitman,43.476
Kristin Cashore,43.275
Diane Setterfield,42.961
William Shakespeare,42.931
Haruki Murakami,42.890
Tim O&#39;Brien,42.780
Isaac Asimov,42.778
H.G. Wells,42.526
Stephen King,42.522
John Irving,42.495
Haruki Murakami,41.756
Johanna Spyri,41.699
Judy Blume,41.526
Cassandra Clare,41.154
Jostein Gaarder,41.018
Henry David Thoreau,40.641
Patrick Rothfuss,40.195
سید مرتضی مصطفوی,39.342
Kate Chopin,39.307
Rainbow Rowell,39.173
William Styron,38.844
Pat Conroy,38.129
Kazuo Ishiguro,37.910
Rick Riordan,37.610
Charlaine Harris,37.299
Fannie Flagg,37.166
E.L. James,36.997
Ernest Cline,36.716
George Eliot,36.560
Jon Stone,36.511
Chinua Achebe,36.188
Helen Fielding,36.093
Sarah J. Maas,36.042
Virginia Woolf,35.923
J.D. Salinger,35.744
Suzanne Collins,35.595
Bryce Courtenay,35.382
C.S. Lewis,35.290
Neil Gaiman,35.091
John Grisham,34.966
Stephen King,34.913
Lois Lowry,34.665
Veronica Roth,34.417
Rainbow Rowell,34.392
Philip K. Dick,34.375
Bill Bryson,34.290
J.R.R. Tolkien,34.125
Rick Riordan,34.073
Garth Stein,34.004
Jojo Moyes,33.973
Gayle Forman,33.968
Anna Sewell,33.920
Arthur Conan Doyle,33.889
Brandon Sanderson,33.834
James Joyce,33.763
Marie Lu,33.729
Jonathan Swift,33.673
Ann Patchett,33.500
Bret Easton Ellis,33.463
Alan Moore,33.219
Robert Munsch,33.186
Roald Dahl,33.065
Anonymous,32.967
Neil Gaiman,32.962
Jane Austen,32.890
E.L. James,32.676
Charles Frazier,32.650
Jack London,32.467
R.J. Palacio,32.187
Unknown,31.884
Natalie Babbitt,31.793
Kami Garcia,31.593
Hermann Hesse,31.483
Brandon Sanderson,31.479
Christopher Paolini,31.458
J.R. Ward,31.344
Beatrice Sparks,31.333
أحمد جمال الدين رمضان,31.046
Edgar Allan Poe,31.016
Robert Jordan,30.920
William Faulkner,30.850
John Knowles,30.697
Art Spiegelman,30.521
Jane Austen,30.080
Michael Chabon,29.943
Christopher Paolini,29.909
أحمد جمال الدين رمضان,29.592
Dave Pelzer,29.539
Jerry Spinelli,29.529
Lao Tzu,29.380
Stephen King,29.065
Nicholas Sparks,29.023
Salman Rushdie,28.992
Jennifer L. Armentrout,28.991
Ray Bradbury,28.966
Becca Fitzpatrick,28.887
Michael Ondaatje,28.800
John Steinbeck,28.764
David Mitchell,28.752
Robert M. Pirsig,28.738
Andy Weir,28.704
John Grisham,28.613
Nicholas Sparks,28.609
Willa Cather,28.526
Tahereh Mafi,28.364
Philip Pullman,28.341
Boris Pasternak,28.285
Victor Hugo,28.230
Daniel Defoe,28.064
Dante Alighieri,27.932
Laura Esquivel,27.863
Truman Capote,27.505
Emma Donoghue,27.254
Diana Gabaldon,27.148
Kurt Vonnegut Jr.,27.035
