naslov,odlocilna_ocena,vsi_glasovi
Midnight in the Garden of Good and Evil,25.322,357
The Amber Spyglass,28.341,362
The Eye of the World,30.920,363
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,28.738,364
The Origin of Species,26.616,365
The BFG,27.029,366
Dark Lover,31.344,367
The Amazing Adventures of Kavalier &amp; Clay,29.943,368
Dear John,29.023,368
القرآن الكريم,32.967,372
Wonder,32.187,375
Tao Te Ching,29.380,375
Inferno,27.932,380
The Strange Case of Dr. Jekyll and Mr. Hyde,26.156,381
A Child Called &quot;It&quot;,29.539,384
Breakfast at Tiffany&#39;s and Three Stories,27.505,386
Legend,33.729,387
The Martian Chronicles,28.966,388
My Ántonia,28.526,388
A Streetcar Named Desire,25.409,388
A Court of Mist and Fury,36.042,389
Fifty Shades Freed,32.676,389
Beautiful Creatures,31.593,390
Brisingr,29.909,390
The English Patient,28.800,393
&#39;Salem&#39;s Lot,29.065,394
Me Before You,33.973,395
Like Water for Chocolate,27.863,395
زندگی مه آلود پریا,39.342,396
The Complete Maus,30.521,396
Steppenwolf,31.483,397
Death of a Salesman,25.760,400
Eleanor &amp; Park,34.392,401
American Psycho,33.463,402
The Art of Racing in the Rain,34.004,403
The Power of One,35.382,405
Bel Canto,33.500,405
Eldest,31.458,405
The Hunchback of Notre-Dame,28.230,406
If I Stay,33.968,407
Ready Player One,36.716,409
The Lord of the Rings,34.125,409
A Short History of Nearly Everything,34.290,413
As I Lay Dying,30.850,414
A Separate Peace,30.697,419
The Firm,28.613,419
Robinson Crusoe,28.064,420
The Mark of Athena,34.073,421
Love You Forever,33.186,421
Go Ask Alice,31.333,421
Allegiant,34.417,422
The Graveyard Book,32.962,422
Doctor Zhivago,28.285,422
Mansfield Park,30.080,426
The Gunslinger,34.913,430
V for Vendetta,33.219,433
Tuck Everlasting,31.793,434
Fifty Shades Darker,36.997,438
Blood River: A Journey to Africa&#39;s Broken Heart,43.627,440
The Complete Novels,32.890,442
The Wise Man&#39;s Fear,40.195,443
A Portrait of the Artist as a Young Man,33.763,443
The Witches,33.065,443
Cold Mountain,32.650,443
Do Androids Dream of Electric Sheep?,34.375,444
Fangirl,39.173,450
The Monster at the End of this Book,36.511,451
Stardust,35.091,452
The Tell-Tale Heart and Other Writings,31.016,453
Middlemarch,36.560,456
Number the Stars,34.665,456
Franny and Zooey,35.744,457
Beowulf,31.884,459
Mockingjay,35.595,460
White Fang,32.467,463
Never Let Me Go,37.910,465
Things Fall Apart,36.188,467
Dead Until Dark,37.299,470
The Hound of the Baskervilles,33.889,471
A Time to Kill,34.966,472
Kafka on the Shore,41.756,474
The Son of Neptune,37.610,475
Mrs. Dalloway,35.923,476
The Magician&#39;s Nephew,35.290,489
Black Beauty,33.920,489
Flow Down Like Silver: Hypatia of Alexandria,47.531,491
Norwegian Wood,42.890,494
Sophie&#39;s World,41.018,497
Bridget Jones&#39;s Diary,36.093,497
The Awakening,39.307,501
The Prince of Tides,38.129,502
"Lamb: The Gospel According to Biff, Christ&#39;s Childhood Pal",45.600,510
Graceling,43.275,511
City of Lost Souls,41.154,513
Gulliver&#39;s Travels,33.673,516
Fried Green Tomatoes at the Whistle Stop Cafe,37.166,518
The Thirteenth Tale,42.961,522
The Things They Carried,42.780,523
Foundation,42.778,524
Sophie&#39;s Choice,38.844,528
Gone Girl,43.529,531
Beautiful Disaster,47.581,536
The Historian,44.823,542
Walden,40.641,543
Delirium,47.672,547
I Know This Much Is True,46.411,554
"Are You There God? It&#39;s Me, Margaret",41.526,555
The Secret History,48.169,556
Invisible Man,43.994,556
Paper Towns,47.465,558
The Complete Works,42.931,558
Neverwhere,45.998,564
The Cider House Rules,42.495,571
Midnight Sun [2008 Draft],48.808,573
Different Seasons,42.522,573
Inkheart,45.545,576
The Once and Future King,46.527,578
All Creatures Great and Small,43.536,578
Speak,47.066,580
The Complete Sherlock Holmes,44.539,580
Into the Wild,45.927,582
Heidi,41.699,582
Candide,44.231,583
Paradise Lost,43.655,590
Leaves of Grass,43.476,590
The Time Machine,42.526,594
Howl&#39;s Moving Castle,49.956,596
White Oleander,48.197,600
The Idiot,47.126,601
The Vampire Lestat,47.256,605
The Wind-Up Bird Chronicle,54.275,609
Blindness,52.830,609
Marked,52.072,614
Cinder,53.375,617
Stranger in a Strange Land,49.644,618
Fear and Loathing in Las Vegas,51.199,619
The Diary of a Young Girl,47.931,619
James and the Giant Peach,44.080,619
The Girl Who Kicked the Hornet&#39;s Nest,48.307,620
The Shack,52.267,622
The Guernsey Literary and Potato Peel Pie Society,51.407,628
The Complete Calvin and Hobbes,50.709,632
Uncle Tom&#39;s Cabin,45.654,636
Island of the Blue Dolphins,49.491,638
The House of the Spirits,50.819,639
King Lear,46.782,642
A Clash of Kings,52.862,651
Misery,49.920,651
Man&#39;s Search for Meaning,56.140,655
The Secret Magdalene,63.985,657
Roots: The Saga of an American Family,50.100,658
Shiver,56.738,659
The Sound and the Fury,52.729,660
Uglies,56.436,671
She&#39;s Come Undone,55.867,676
Ella Enchanted,54.518,679
The Green Mile,53.136,683
Throne of Glass,61.343,684
Othello,47.570,684
Marley and Me: Life and Love With the World&#39;s Worst Dog,54.607,685
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,57.445,686
The God of Small Things,58.276,687
For Whom the Bell Tolls,51.234,699
City of Fallen Angels,56.434,703
The Phantom of the Opera,54.625,704
The Screwtape Letters,57.947,714
The Selection,62.933,715
Clockwork Prince,60.579,716
Cat&#39;s Cradle,59.024,719
Spirit Bound,61.124,724
A Confederacy of Dunces,63.048,727
The Silence of the Lambs,56.616,733
The Night Circus,65.366,741
The Lost Hero,61.665,745
Girl with a Pearl Earring,57.742,752
A Light in the Attic,56.943,755
Catching Fire,61.824,758
Fallen,65.537,759
Last Sacrifice,65.537,769
The Silmarillion,64.290,775
The Trial,63.049,775
The Wind in the Willows,57.972,775
Extremely Loud &amp; Incredibly Close,68.087,780
His Dark Materials,67.197,784
The Iliad/The Odyssey,59.731,790
Beloved,63.933,794
The Crucible,59.778,795
The Sun Also Rises,63.039,801
Tote Mädchen lügen nicht,71.361,818
Jurassic Park,65.836,824
The Boy in the Striped Pajamas,66.495,825
The Other Boleyn Girl,67.337,826
The Velveteen Rabbit,62.527,838
Shōgun,68.575,839
Wicked: The Life and Times of the Wicked Witch of the West,69.973,846
A Storm of Swords,73.892,855
Fifty Shades of Grey,75.815,856
A Little Princess,67.478,858
Murder on the Orient Express,67.722,880
Schindler&#39;s List,66.873,881
The Maze Runner,78.429,902
The World According to Garp,72.939,904
Ulysses,77.545,923
The Clan of the Cave Bear,75.174,924
The Hunger Games Trilogy Boxset,79.239,935
A Farewell to Arms,72.855,935
The Phantom Tollbooth,80.122,941
The Neverending Story,77.699,944
David Copperfield,72.676,956
Clockwork Princess,86.774,971
The Girl Who Played with Fire,78.577,978
The Canterbury Tales,73.743,983
Jonathan Livingston Seagull,81.140,991
"Oh, the Places You&#39;ll Go!",78.977,1005
Bridge to Terabithia,79.610,1006
The Mists of Avalon,84.898,1008
The Sea of Monsters,83.741,1008
Madame Bovary,80.572,1009
The Titan&#39;s Curse,84.197,1014
Blood Promise,89.995,1026
The Battle of the Labyrinth,87.342,1033
The Joy Luck Club,82.461,1035
Treasure Island,77.086,1041
The Prophet,86.748,1045
Oliver Twist,77.656,1054
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",92.423,1056
The Call of the Wild,81.356,1058
Alice in Wonderland,82.010,1069
Frostbite,94.716,1076
The Good Earth,88.598,1078
Tess of the D&#39;Urbervilles,88.973,1090
Heart of Darkness,88.285,1090
Their Eyes Were Watching God,96.042,1110
"Eat, Pray, Love",97.131,1123
The Lorax,92.526,1130
The Ultimate Hitchhiker&#39;s Guide to the Galaxy,97.868,1151
A Midsummer Night&#39;s Dream,87.413,1151
Atonement,97.251,1164
Goodnight Moon,94.057,1168
Shadow Kiss,105.202,1170
Insurgent,104.936,1194
The Three Musketeers,95.451,1197
The Importance of Being Earnest,97.086,1208
A Walk to Remember,104.191,1217
The Compleat Works of Wllm Shkspr,107.301,1232
The Wonderful Wizard of Oz,95.453,1247
The Thorn Birds,104.326,1263
How the Grinch Stole Christmas!,98.206,1266
Love in the Time of Cholera,106.573,1267
"The Hobbit, or There and Back Again",107.226,1281
Watchmen,116.385,1318
All Quiet on the Western Front,113.129,1326
The Last Olympian,116.216,1337
Lonesome Dove,119.713,1343
It,116.529,1354
American Gods,119.623,1355
The Divine Comedy,114.405,1357
Perfume: The Story of a Murderer,119.485,1360
The Little House Collection,115.088,1361
The Count of Monte Cristo,119.359,1375
"Hush, Hush",124.737,1379
Peter Pan,113.878,1410
Holes,118.974,1423
The Five People You Meet in Heaven,125.040,1441
Fight Club,125.361,1446
"The Lion, the Witch and the Wardrobe",118.214,1474
The Cat in the Hat,120.301,1482
In Cold Blood,125.917,1494
The Unbearable Lightness of Being,135.139,1517
The Godfather,128.489,1519
Where the Red Fern Grows,131.171,1527
The Name of the Rose,132.087,1532
Looking for Alaska,140.023,1535
The Shadow of the Wind,139.092,1538
Tuesdays with Morrie,135.688,1553
Harry Potter and the Chamber of Secrets,130.922,1570
The Curious Incident of the Dog in the Night-Time,138.102,1590
On the Road,140.738,1595
The Name of the Wind,150.539,1597
